DATE,TIME,MODEL CODE,TYPE,BARCODE,SERIAL No.,PASS/NG,50Hz WATTAGE,50Hz WATTAGE FLUCTUATED,50Hz AIR VOLUME,50Hz AIR VOLUME FLUCTUATED,50Hz CLOSED PRESSURE,50Hz CLOSED PRESSURE FLUCTUATED,50Hz AMPERAGE,50Hz AMPERAGE FLUCTUATED,60Hz WATTAGE,60Hz WATTAGE FLUCTUATED,60Hz AIR VOLUME,60Hz AIR VOLUME FLUCTUATED,60Hz CLOSED PRESSURE,60Hz CLOSED PRESSURE FLUCTUATED,60Hz AMPERAGE,60Hz AMPERAGE FLUCTUATED
24/07/2025,18:12:57,120LL2400P,N,,725007404,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.4,0.5,112.0,1.0,41.3,0.10000000000000142,0.926,0.017000000000000015
24/07/2025,18:14:47,120LL2400P,N,,725007405,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,2.299999999999997,113.0,1.0,42.3,1.0,0.944,0.017999999999999905
24/07/2025,18:15:56,120LL2400P,N,,725007406,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.7,0.0,114.0,1.0,42.5,0.20000000000000284,0.944,0.0
24/07/2025,18:22:29,120LL2400P,N,,725007407,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,1.2000000000000028,112.0,2.0,41.8,0.7000000000000028,0.939,0.0050000000000000044
24/07/2025,18:24:08,120LL2400P,N,,725007408,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5,2.0,114.0,2.0,42.5,0.7000000000000028,0.959,0.020000000000000018
24/07/2025,18:25:50,120LL2400P,N,,725007409,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.3,4.200000000000003,111.0,3.0,39.9,2.6000000000000014,0.909,0.04999999999999993
24/07/2025,18:27:22,120LL2400P,N,,725007410,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,2.0,113.0,2.0,41.6,1.7000000000000028,0.932,0.02300000000000002
25/07/2025,8:18:08,120LL2400P,N,,725007411,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,5.0,112.0,5.0,40.1,5.0,0.935,5.0
25/07/2025,8:20:02,120LL2400P,N,,725007412,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,1.5,111.0,1.0,41.2,1.1000000000000014,0.916,0.019000000000000017
25/07/2025,8:22:09,120LL2400P,N,,725007413,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3,0.7999999999999972,111.0,0.0,42.5,1.2999999999999972,0.935,0.019000000000000017
25/07/2025,8:24:10,120LL2400P,N,,725007414,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6,0.7000000000000028,111.0,0.0,41.4,1.1000000000000014,0.921,0.014000000000000012
25/07/2025,8:26:06,120LL2400P,N,,725007415,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.4,3.8000000000000114,114.0,3.0,42.1,0.7000000000000028,0.953,0.03199999999999992
25/07/2025,8:28:27,120LL2400P,N,,725007416,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1.4000000000000057,113.0,1.0,41.9,0.20000000000000284,0.941,0.01200000000000001
25/07/2025,8:34:19,120LL2400P,N,,725007417,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,2.5,112.0,1.0,41.2,0.6999999999999957,0.915,0.025999999999999912
25/07/2025,8:37:10,120LL2400P,N,,725007418,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.6,1.0999999999999943,112.0,0.0,41.3,0.09999999999999432,0.928,0.013000000000000012
25/07/2025,8:41:07,120LL2400P,N,,725007419,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.5999999999999943,112.0,0.0,41.0,0.29999999999999716,0.915,0.013000000000000012
25/07/2025,8:50:14,120LL2400P,N,,725007420,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,1.2000000000000028,112.0,0.0,42.4,1.3999999999999986,0.93,0.015000000000000013
25/07/2025,8:56:43,120LL2400P,N,,725007421,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,0.0,113.0,1.0,42.5,0.10000000000000142,0.946,0.015999999999999903
